volume,price,datetime
15784.90655,481.966,2014-04-02 01:27:28
36946.14967,412.939,2014-04-03 07:30:01
37206.81032,455.0,2014-03-31 08:52:49
39695.96526,439.0,2014-04-03 12:35:33
28084.63631,458.162,2014-03-31 19:58:42
19424.16849,443.365,2014-04-04 08:26:09
27006.46754,460.636,2014-03-31 04:32:33
18463.0262,484.099,2014-04-01 22:57:15
17256.98642,444.95,2014-04-04 14:36:54
22311.44569,440.174,2014-04-03 22:28:40
18362.17626,429.999,2014-04-02 17:23:37
16693.35079,491.7,2014-04-01 10:24:43
37463.44074,452.99,2014-03-31 11:28:02
37786.39431,435.0,2014-04-03 10:30:19
28926.58868,451.1,2014-04-03 19:01:42
25907.68587,469.0,2014-04-01 03:34:15
34641.46038,462.418,2014-03-31 13:18:10
13597.01736,479.002,2014-04-02 07:42:54
14639.48572,461.449,2014-04-02 15:13:27
18047.40009,446.113,2014-04-04 10:26:19
28208.53858,458.995,2014-03-31 19:43:39
23382.18089,459.999,2014-03-31 22:58:55
39724.92152,429.95,2014-04-03 13:35:40
18076.48422,480.387,2014-04-01 22:42:13
22206.51509,477.731,2014-03-31 02:57:26
19571.71954,437.0,2014-04-04 03:05:33
21990.10713,446.74,2014-04-03 22:48:43
11522.50072,483.0,2014-04-02 12:28:12
16574.06546,492.1,2014-04-01 16:45:13
17366.01009,437.48,2014-04-02 17:08:36
25007.94426,472.371,2014-04-01 04:09:19
35043.6741,425.696,2014-04-03 05:04:48
23255.41202,465.81,2014-03-30 23:57:12
15439.7573,482.0,2014-04-02 04:02:39
23719.76043,461.228,2014-03-31 23:08:56
35519.83243,415.113,2014-04-03 07:15:00
22215.55619,436.001,2014-04-04 06:25:56
22299.10645,478.003,2014-03-31 02:37:24
16885.77828,487.611,2014-04-01 11:19:49
33248.56918,423.951,2014-04-03 02:04:26
25757.68363,456.999,2014-03-31 21:48:51
33350.00814,432.23,2014-04-02 21:04:02
11347.82933,491.126,2014-04-02 10:48:06
37850.13713,421.0,2014-04-03 09:35:13
22100.47981,470.0,2014-03-31 00:27:16
15793.25486,480.35,2014-04-02 01:02:25
38457.72279,417.103,2014-04-03 08:50:09
26136.03484,457.736,2014-03-31 21:13:46
20269.1385,445.0,2014-04-04 07:46:04
22549.31035,446.7,2014-04-03 21:13:31
16400.78321,487.55,2014-04-01 19:36:54
33205.86388,426.413,2014-04-03 01:59:26
18984.26725,429.97,2014-04-04 04:25:43
24247.75362,465.01,2014-03-30 23:22:10
37988.60826,420.01,2014-04-03 09:25:12
25944.32387,468.666,2014-04-01 03:09:13
34391.61523,428.09,2014-04-03 03:59:41
16586.14968,482.99,2014-04-01 14:40:04
37252.91914,453.94,2014-03-31 07:12:42
20313.64579,441.987,2014-04-04 01:45:23
16730.63242,479.001,2014-04-02 00:42:24
22282.06891,484.0,2014-03-31 03:27:28
19128.25591,432.781,2014-04-04 05:10:49
11846.55903,482.013,2014-04-02 13:23:17
38353.77701,419.0,2014-04-03 08:45:08
26077.92952,465.248,2014-04-01 02:19:10
16011.01653,445.776,2014-04-04 16:07:05
39632.7636,434.708,2014-04-03 11:55:26
16555.4744,484.002,2014-04-01 12:49:54
22334.97064,481.814,2014-03-31 02:42:25
19360.88556,436.01,2014-04-04 03:50:39
22549.83521,447.665,2014-04-03 20:48:28
33197.9845,424.961,2014-04-03 01:54:25
25976.44354,465.247,2014-04-01 02:49:13
32751.75231,467.4,2014-03-31 15:33:19
32852.23817,435.0,2014-04-02 21:19:02
11138.2178,493.9,2014-04-02 11:28:08
35004.88202,426.034,2014-04-03 04:44:47
32359.11576,424.083,2014-04-03 00:39:20
