Date,Open,High,Low,Close,Volume,Adj Close
2000-01-01,471.027,471.027,471.027,471.027,1000000,471.027
2000-01-02,473.549,473.549,473.549,473.549,1000000,473.549
2000-01-03,475.024,475.024,475.024,475.024,1000000,475.024
2000-01-04,472.667,472.667,472.667,472.667,1000000,472.667
2000-01-05,469.27,469.27,469.27,469.27,1000000,469.27
2000-01-06,468.636,468.636,468.636,468.636,1000000,468.636
2000-01-07,471.0,471.0,471.0,471.0,1000000,471.0
2000-01-08,471.165,471.165,471.165,471.165,1000000,471.165
2000-01-09,468.838,468.838,468.838,468.838,1000000,468.838
2000-01-10,466.415,466.415,466.415,466.415,1000000,466.415
2000-01-11,465.89,465.89,465.89,465.89,1000000,465.89
2000-01-12,464.474,464.474,464.474,464.474,1000000,464.474
2000-01-13,464.476,464.476,464.476,464.476,1000000,464.476
2000-01-14,466.872,466.872,466.872,466.872,1000000,466.872
2000-01-15,465.01,465.01,465.01,465.01,1000000,465.01
2000-01-16,464.474,464.474,464.474,464.474,1000000,464.474
2000-01-17,464.423,464.423,464.423,464.423,1000000,464.423
2000-01-18,463.679,463.679,463.679,463.679,1000000,463.679
2000-01-19,463.679,463.679,463.679,463.679,1000000,463.679
2000-01-20,463.86,463.86,463.86,463.86,1000000,463.86
2000-01-21,463.988,463.988,463.988,463.988,1000000,463.988
2000-01-22,465.81,465.81,465.81,465.81,1000000,465.81
2000-01-23,464.112,464.112,464.112,464.112,1000000,464.112
2000-01-24,467.173,467.173,467.173,467.173,1000000,467.173
2000-01-25,467.5,467.5,467.5,467.5,1000000,467.5
2000-01-26,470.0,470.0,470.0,470.0,1000000,470.0
2000-01-27,470.99,470.99,470.99,470.99,1000000,470.99
2000-01-28,470.0,470.0,470.0,470.0,1000000,470.0
2000-01-29,470.186,470.186,470.186,470.186,1000000,470.186
2000-01-30,467.916,467.916,467.916,467.916,1000000,467.916
2000-01-31,467.0,467.0,467.0,467.0,1000000,467.0
2000-02-01,469.416,469.416,469.416,469.416,1000000,469.416
2000-02-02,469.112,469.112,469.112,469.112,1000000,469.112
2000-02-03,470.0,470.0,470.0,470.0,1000000,470.0
2000-02-04,472.028,472.028,472.028,472.028,1000000,472.028
2000-02-05,473.1,473.1,473.1,473.1,1000000,473.1
2000-02-06,479.5,479.5,479.5,479.5,1000000,479.5
2000-02-07,482.886,482.886,482.886,482.886,1000000,482.886
2000-02-08,478.85,478.85,478.85,478.85,1000000,478.85
2000-02-09,476.14,476.14,476.14,476.14,1000000,476.14
2000-02-10,478.0,478.0,478.0,478.0,1000000,478.0
2000-02-11,479.976,479.976,479.976,479.976,1000000,479.976
2000-02-12,480.0,480.0,480.0,480.0,1000000,480.0
2000-02-13,480.0,480.0,480.0,480.0,1000000,480.0
2000-02-14,483.016,483.016,483.016,483.016,1000000,483.016
2000-02-15,485.45,485.45,485.45,485.45,1000000,485.45
2000-02-16,485.827,485.827,485.827,485.827,1000000,485.827
2000-02-17,481.0,481.0,481.0,481.0,1000000,481.0
2000-02-18,481.574,481.574,481.574,481.574,1000000,481.574
2000-02-19,482.657,482.657,482.657,482.657,1000000,482.657
2000-02-20,483.66,483.66,483.66,483.66,1000000,483.66
2000-02-21,482.983,482.983,482.983,482.983,1000000,482.983
2000-02-22,480.733,480.733,480.733,480.733,1000000,480.733
2000-02-23,478.003,478.003,478.003,478.003,1000000,478.003
2000-02-24,481.814,481.814,481.814,481.814,1000000,481.814
2000-02-25,483.499,483.499,483.499,483.499,1000000,483.499
2000-02-26,481.005,481.005,481.005,481.005,1000000,481.005
2000-02-27,477.731,477.731,477.731,477.731,1000000,477.731
2000-02-28,480.0,480.0,480.0,480.0,1000000,480.0
2000-02-29,480.21,480.21,480.21,480.21,1000000,480.21
2000-03-01,479.0,479.0,479.0,479.0,1000000,479.0
2000-03-02,482.988,482.988,482.988,482.988,1000000,482.988
